groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
0	0	106.4	29.89	1.744	0	121.2	31.08
0	0	106.4	29.89	1.744	0	121.2	31.08
4.642	27.65	75.58	16.59	8.59	23.52	111.5	21.78
5.096	127.8	1.106	2.421	2.616	142.3	0.9812	5.727
17.05	134.9	0.3437	3.392	15.56	112.3	0.04005	3.504
108	12.95	10.27	16.89	101.4	18.66	6.367	11.87
108	12.95	10.27	16.89	101.4	18.66	6.367	11.87
0	2.188	39.4	101.6	0.436	0.811	36.83	104.6
46.92	50.6	11.35	39.28	56.44	37.46	13.97	29.6
46.92	50.6	11.35	39.28	56.44	37.46	13.97	29.6
96.81	45.32	3.25	2.242	92.48	39.2	3.154	2.203
0	1.334	120.9	0.9414	0	0.8721	159	1.261
0	1.334	120.9	0.9414	0	0.8721	159	1.261
0	160.6	5.477	0	0.3837	106.4	9.621	0
85.39	44.54	0	0.7472	110.8	40.25	0	0
2.134	0.1734	43.46	88.84	3.471	0.907	51.4	91.31
2.134	0.1734	43.46	88.84	3.471	0.907	51.4	91.31
2.134	0.1734	43.46	88.84	3.471	0.907	51.4	91.31
2.134	0.1734	43.46	88.84	3.471	0.907	51.4	91.31
8.191	31.71	47.22	64.57	9.628	28.92	36.62	53.98
4.335	3.021	34.3	100.2	3.811	4.683	39.74	90.47
34.52	44.9	45.19	3.362	45.76	53.51	50.47	1.862
34.52	44.9	45.19	3.362	45.76	53.51	50.47	1.862
0	0.647	17.03	94.53	0	3.384	19.34	144.4
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	0.667	56.46	83.22	0.7064	0.1657	36.86	101.2
0	2.861	89.43	49.32	0.8721	4.029	77.76	54.07
0.3268	124.6	15.28	0	0.4273	118	19.33	0.02002
18.31	21.9	40.8	48.55	22.38	21.76	49.82	52.51
18.31	21.9	40.8	48.55	22.38	21.76	49.82	52.51
2.595	0	106.9	31.11	0.2355	0.2006	93.79	40.68
0	21.01	80.84	28.74	0	19.13	93.4	31.24
0	21.01	80.84	28.74	0	19.13	93.4	31.24
0	21.01	80.84	28.74	0	19.13	93.4	31.24
17.8	16.89	23.05	75.07	17.39	14.25	20.08	87.86
90.78	36.2	1.031	0	93.97	41.81	3.384	4.125
30.08	41.14	34.49	26.4	21.98	38.27	53.9	25.02
0.5403	0.1267	9.19	105.7	0	0	6.588	148.3
0.5403	0.1267	9.19	105.7	0	0	6.588	148.3
0.5403	0.1267	9.19	105.7	0	0	6.588	148.3
16.17	13.7	30.5	58.16	24.24	28.97	42.87	55.43
0.4002	7.404	40.42	71.21	0.6104	8.197	54.16	87.2
0	2.441	73.33	53.69	0	2.721	70.96	65.46
0	2.441	73.33	53.69	0	2.721	70.96	65.46
0	2.441	73.33	53.69	0	2.721	70.96	65.46
0	0.8004	78.15	39.9	0	1.395	82	65.78
1.334	3.102	16.47	113.9	0.8721	3.131	10.9	118.2
80.91	25.47	18.99	21.11	64.23	19.94	21.17	16.07
0	0.9805	44.21	97.11	0	0.8546	37.77	86.4
1.241	0.3268	25.22	90.82	0.06104	1.116	33.65	114.7
1.601	0.4002	41.62	68.22	3.139	1.046	57.27	92.91
1.601	0.4002	41.62	68.22	3.139	1.046	57.27	92.91
2.334	3.668	33.62	84.06	6.977	8.721	39.55	87.1
22.34	8.804	65.98	39.9	17.01	6.977	69.98	33.34
22.34	8.804	65.98	39.9	17.01	6.977	69.98	33.34
22.34	8.804	65.98	39.9	17.01	6.977	69.98	33.34
22.34	8.804	65.98	39.9	17.01	6.977	69.98	33.34
3.028	1.081	38.88	84.06	2.076	0	27.37	106.6
3.028	1.081	38.88	84.06	2.076	0	27.37	106.6
0	0	27.98	113.5	0	0	21.19	100.4
0	0	27.98	113.5	0	0	21.19	100.4
63.01	73.54	10.81	2.809	31.77	65.68	9.671	5.637
0.667	0.2201	54.22	79.52	0	0.8633	47.75	79.4
0.667	0.2201	54.22	79.52	0	0.8633	47.75	79.4
0.667	0.2201	54.22	79.52	0	0.8633	47.75	79.4
0.667	0.2201	54.22	79.52	0	0.8633	47.75	79.4
0.667	0.2201	54.22	79.52	0	0.8633	47.75	79.4
0.667	0.2201	54.22	79.52	0	0.8633	47.75	79.4
20.53	89.43	1.225	0.6426	29.32	121.4	0	0
0.4402	8.778	24.01	92.5	0.8721	6.122	23.01	106.7
51.89	84.27	0	0	38.89	87.16	0	0
0.667	0.0667	32.05	101.7	0	0.2616	26.33	100.8
0.667	0.0667	32.05	101.7	0	0.2616	26.33	100.8
4.175	23.7	43.04	46.03	6.331	46.57	41.43	50.48
0.667	0.8404	28.39	74.37	0.6192	1.901	41.41	112.4
26.12	88.24	2.122	1.494	31.62	103.2	5.847	0.6608
0	1.381	28.78	85.84	0	1.796	36.42	103.7
1.334	0	25.78	88.17	0	0	30.04	112.1
1.334	0	25.78	88.17	0	0	30.04	112.1
0	0	52.56	74.09	0	0	55.38	75.11
0	0	52.56	74.09	0	0	55.38	75.11
0	0	52.56	74.09	0	0	55.38	75.11
0.7937	1.988	67.22	58.62	0	0.811	67.91	58.64
10.64	19.94	37.58	51.29	9.854	21.45	45.95	58.92
10.64	19.94	37.58	51.29	9.854	21.45	45.95	58.92
10.64	19.94	37.58	51.29	9.854	21.45	45.95	58.92
10.64	19.94	37.58	51.29	9.854	21.45	45.95	58.92
10.64	19.94	37.58	51.29	9.854	21.45	45.95	58.92
10.64	19.94	37.58	51.29	9.854	21.45	45.95	58.92
10.64	19.94	37.58	51.29	9.854	21.45	45.95	58.92
25.98	16.68	35.02	47.51	26.94	13.91	31.47	58.1
25.98	16.68	35.02	47.51	26.94	13.91	31.47	58.1
25.98	16.68	35.02	47.51	26.94	13.91	31.47	58.1
5.049	19.02	13.16	98.92	4.387	24.24	8.54	82.07
5.049	19.02	13.16	98.92	4.387	24.24	8.54	82.07
5.049	19.02	13.16	98.92	4.387	24.24	8.54	82.07
32.89	65.8	0.7472	1.494	47.86	103.4	2.002	1.001
6.003	5.469	38.18	85.7	4.186	3.924	44.55	66.98
10.32	52.99	59.51	0.5529	9.488	39.92	79.71	1.862
1.501	9.605	6.052	99.67	1.701	9.506	7.108	118.9
1.501	9.605	6.052	99.67	1.701	9.506	7.108	118.9
1.501	9.605	6.052	99.67	1.701	9.506	7.108	118.9
