groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
33.96	78.34	2.839	2.498	42.71	116.9	2.031	2.374
13.14	77.4	6.49	1.665	16.39	96.23	12.59	0.4005
2.077	0.07623	45.26	46.94	0.5232	0	43.09	64.86
10.45	10.55	10.2	20.15	29.73	31.99	33.73	27.2
41.26	37.79	0	0.5764	47.32	44.87	0.6579	0
39.45	30.59	4.697	17.72	32.64	15.82	1.931	14.95
1.096	1.763	37.36	44.4	3.862	1.121	33.11	33.68
34.77	26.56	0	0	44.64	33.82	0.1001	1.33
2.725	8.785	15.23	18.95	12.83	15.4	31.65	30.82
4.993	3.583	16.69	27.79	3.575	2.977	27.69	40.08
30.2	49.35	8.699	2.701	8.908	13.59	0	2.861
36.88	21.94	3.277	3.661	17.91	14.18	4.777	5.978
20.03	19.65	2.274	2.402	24.44	31.42	1.802	5.893
7.032	17.42	18.52	18.35	5.893	19.75	13.02	6.207
1.696	12.92	37.91	20.96	0	1.42	12.83	14.66
17.58	24	8.048	0	25.71	23.87	1.43	0
14.31	16.85	13.04	3.757	15.67	19.24	8.224	7.823
34.62	3.116	19.1	11.11	8.721	0.897	11.3	9.125
16.05	30.03	0	0.8112	19.2	27.92	1.073	0.7008
3.783	35.09	1.868	11.2	3.414	24.37	5.02	9.654
20.96	19.38	1.462	0.8005	27.32	21.94	1.43	0.8868
16.93	31.32	4.195	0.6084	18.82	21.73	0	0
10.06	28.54	1.046	0	10.96	35.16	1.416	0
36.24	12.21	10.58	7.845	6.541	1.458	5.835	6.436
2.706	0.7909	16.36	17.83	5.93	2.604	20.97	13.59
6.355	24.25	14.64	12.45	0.2242	4.36	10.63	4.648
12.08	15.55	0.7685	0.2989	20.21	23.87	1.43	0
7.318	25.99	2.199	2.135	6.341	24.68	2.717	2.46
12.3	12.7	6.938	7.216	9.879	8.26	6.808	9.211
9.471	34.51	1.11	0	3.139	16.74	2.975	2.603
11.06	12.9	11.78	0.2989	2.915	5.183	23.11	1.659
27.87	9.767	2.135	1.281	18.31	7.849	0.143	1.287
13.38	23.84	0	0	10.88	16.48	1.616	1.788
13.05	28.62	1.334	0.5444	10.65	6.167	4.262	0.02861
8.252	6.88	22.74	4.472	2.454	1.246	11.1	6.479
20.34	9.843	0.2668	0.9927	15.25	14.83	0	0
20.2	10.39	5.657	1.494	14.02	2.056	6.007	0.7151
15.67	9.843	1.003	0	17.85	10.8	3.132	0.6722
6.899	5.546	5.807	4.931	11.9	15.11	1.43	6.865
12.74	10.01	3.864	4.013	8.721	11.45	1.516	5.635
14.19	9.042	0	2.135	18.79	12.28	0	1.03
14.26	22.95	0	0	10.51	7.699	0	0
1.715	0.8099	13.02	2.508	0.436	1.433	22.24	12.94
12.05	9.786	0.3095	2.444	6.69	16.61	2.203	4.234
10.05	11.46	0.5124	0.2775	4.41	12.16	8.91	5.735
2.325	10.9	2.85	0.4697	9.63	13.14	8.868	3.69
7.194	6.813	6.831	12.06	1.246	2.99	6.15	8.582
6.641	5.403	8.358	2.081	5.469	5.295	14.77	2.789
0.3049	9.081	4.462	4.227	3.015	17.6	3.476	8.481
2.973	29.56	0	0	6.279	11.64	0	0
1.458	1.344	22.32	8.272	2.492	0	10.01	3.175
5.317	3.811	8.347	7.536	0	0	13.57	9.94
9.081	3.364	13.52	2.167	4.435	0	9.74	5.764
0.3049	5.203	11.78	3.928	0.7973	10.14	11.91	3.633
3.249	5.298	8.891	8.507	2.068	3.538	4.462	11.14
9.471	5.222	1.163	5.433	9.78	6.017	0.8295	7.523
1.734	7.804	8.347	6.063	1.869	5.046	9.654	4.777
21.78	3.821	0.8005	0.7258	8.721	2.143	3.576	1.23
8.785	10.52	0.6618	0.5337	14.44	5.494	1.774	0
4.288	2.649	2.135	12.04	2.143	4.909	4.691	9.297
13.7	10.84	0.8112	0	5.556	9.07	1.073	0.7294
4.745	18.79	2.22	0.6831	1.943	11.84	0	1.43
20.44	2.811	3.095	1.174	4.547	2.305	4.005	1.859
5.479	4.526	8.23	3.512	2.728	3.426	10.1	1.344
11.04	14.38	2.135	0	9.231	2.404	0	0
2.849	0.009528	12.08	9.82	1.856	1.557	5.063	4.605
5.622	8.194	0	0	7.612	14.55	1.43	0
8.061	1.734	5.508	4.953	6.092	0.5108	5.95	3.318
5.374	12.79	1.953	0.2668	4.56	9.742	1.201	0
1.162	12.43	1.334	0.03202	1.171	18.19	0.6722	0.758
0.4097	16.78	2.583	1.067	0.5357	8.858	3.261	1.43
1.972	5.593	3.01	3.458	2.816	7.001	4.291	6.608
2.144	9.309	1.324	0	2.018	18.76	0.8868	0
1.982	16.06	0.4163	0	7.201	8.372	0	0
1.429	10.02	3.181	1.665	2.878	9.655	0	4.319
8.252	11.76	2.999	2.935	0.9094	0.3364	2.832	2.918
6.041	7.47	2.935	2.231	8.671	3.588	0	1.43
10.57	4.05	0	1.067	14.25	0	1.43	0.4005
10.39	2.763	3.309	0	2.616	4.859	5.149	2.431
4.44	0	15.09	0	0.9344	1.134	8.095	0
6.66	7.442	0	1.131	8.26	5.369	0	0
8.718	13.84	0	0	4.672	1.557	0	0
7.022	4.24	1.067	1.067	10.03	3.75	0	0.8009
7.67	5.479	0	0	11.96	2.242	0	0
8.576	5.469	2.145	0.01067	5.245	3.177	2.503	0.0143
0.4478	7.956	0.2989	1.067	1.171	15.77	0	0
4.583	4.736	1.334	0.1174	3.675	10.28	0	1.43
1.067	1.791	7.216	3.939	0	0	5.464	6.622
8.337	4.288	0.427	0.6404	5.98	2.056	3.504	0.8582
2.03	1.182	6.436	3.565	0	0	9.525	3.347
1.305	1.191	1.729	2.391	3.713	5.008	6.808	3.89
2.839	7.947	4.953	0	0.5731	6.179	2.861	0
1.401	4.393	5.177	0.6511	2.043	5.257	6.064	0
10.77	2.859	0	0	8.347	2.865	0	0
0.162	0.3144	6.853	5.337	0.2118	1.557	5.478	3.933
12.18	1.162	0	0.2989	3.189	2.417	2.903	1.387
4.631	3.583	1.996	2.274	1.557	1.408	2.861	5.178
2.63	8.271	0	0	1.981	10.5	0	0
4.783	2.287	0.8005	0.3522	8.97	4.734	0.9583	0.472
1.963	8.461	2.946	0.5337	5.22	4.049	0	0
2.458	10.39	2.498	0	0.9344	2.18	4.477	0
6.07	1.515	1.697	4.707	1.246	1.246	3.218	3.089
5.345	6.432	0.459	0	4.36	6.142	0	0
3.516	2.02	8.603	3.01	1.943	0.9344	1.702	0
4.173	4.879	1.067	1.046	7.039	3.501	0	0
3.649	6.174	0.6618	0	7.176	4.036	0	0
11.82	3.287	1.366	0	3.737	0	1.43	0
4.183	2.144	0	0	6.192	7.961	0	0
4.24	8.242	0.6404	0	2.616	4.61	0	0
0	8.576	0.523	0	0	11.21	0	0
1.458	4.983	5.07	4.515	1.881	0.6104	1.073	0.7008
3.602	5.555	0	0	6.229	4.846	0	0
9.671	3.64	0	0	5.681	1.208	0	0
5.812	0.8576	2.989	0.8005	3.737	1.184	2.574	1.788
0.2382	7.527	0.1921	1.943	0.3987	7.886	0.9726	0.4577
5.203	0.5145	0	0	8.845	3.613	0	1.43
3.373	14.37	0	0	0.7973	0.4485	0	0
10.53	0.9052	1.121	1.014	2.492	0	2.861	0
1.191	6.489	4.28	1.334	0	1.321	2.603	1.516
11.91	0.8576	0.427	0	4.547	0.9344	0	0
7.203	4.231	0	0	2.529	4.348	0	0
2.468	1.591	2.498	0	1.769	4.659	4.176	0.8295
5.345	3.707	0.491	0	3.115	3.015	0	1.43
1.172	3.592	4.312	1.772	1.022	1.869	0.4863	2.861
1.667	2.201	0.5337	0	2.267	5.83	3.404	0.8868
2.744	0.5908	6.009	0.2668	4.211	1.246	1.43	0
4.288	3.287	1.067	0	2.99	0.7475	0.7866	2.717
0.9528	7.394	0	0	0	5.457	0.2717	1.788
2.23	1.191	3.352	1.452	1.981	0	4.162	0.9726
0.7432	5.774	0.918	0	2.18	5.12	0	0
5.117	2.868	0	0	3.588	3.115	0	0
4.65	0.5336	0	0.03202	6.391	2.803	0	0
7.175	1.534	1.067	3.202	0	0	0	1.43
1.744	0.162	3.565	4.633	0	0	2.031	2.26
2.754	6.775	0	0	2.579	2.18	0	0
2.859	0	0	0	7.375	3.7	0	0
3.316	0.6098	0	2.135	3.874	1.258	2.689	0
2.211	7.146	1.665	1.473	0	0	0	1.344
1.191	1.448	1.334	1.622	6.254	0.6977	1.101	0
0	0	4.654	0.2348	0	0	8.138	0.1573
1.496	6.794	0	1.067	1.943	1.794	0	0
3.583	8.213	0.6725	0.3949	0	0	0	0
4.659	0.3716	0	0	4.709	2.94	0	0
1.191	4.64	1.046	1.622	2.18	1.632	0	0
2.897	1.62	0	0	3.139	3.065	1.459	0
2.287	3.049	1.601	0	1.37	1.121	1.001	1.43
1.448	2.839	2.893	1.932	0	1.221	1.43	0
5.955	2.144	0	0.5337	2.18	0.9344	0	0
1.467	3.773	1.516	0	0.7724	2.965	1.015	0
4.431	4.583	0.555	0	1.246	0	0	0
5.479	3.173	1.43	0.08539	0	0	0.6007	0
1.906	0.9528	2.882	1.281	0.9966	0.2492	2.002	0
6.479	1.143	0	1.067	0	0	0	1.43
0.3811	2.001	1.067	0.5337	3.8	1.62	0.7151	0
3.097	2.144	1.067	0	3.127	0.6354	0	0
3.373	2.344	0	0	4.286	0	0	0
1.925	2.925	0	0	1.894	3.09	0	0
4.259	2.677	0.03202	1.035	0	0	1.745	0
5.269	0.4478	0	0	2.492	0	1.43	0
5.002	0.1429	1.921	0	2.367	0	0	0
0.9528	1.124	2.306	0	0.1121	1.134	2.503	1.302
0.343	1.486	0	0	3.252	3.775	0	0
0.829	1.534	3.757	0	0	0.7724	1.802	0
3.011	0.8004	0	0	0.1121	4.472	0	0
